Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Mouse gender	Mouse genotype	Targeted layer	Inferred layer	Cre	Exon reads	Intron reads	Intergenic reads	Sequencing batch	Number of genes detected	RNA class	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons	Pipette Resistance (MΩ)	Access Resistance (MΩ)	Seal Resistance (MΩ)	Recording Temperature (˚C)
139	20200413_sample_3	20200413_slice_1	2020-04-13	sample 3	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1698676	1048012	157913	12	13795	ET	L5 ET_1	0.78	L5 ET_1 (77.9%), L5 ET_4 (9.9%), L5 ET_2 (9.0%)	L5 PT ALM Slco2a1 (92.0%), L5 PT ALM Npsr1 (4.0%)	1871	694.72	Fede, Ray	6	888	0	0	1657			3.6	10.1	58.7	33-34
140	20200413_sample_4	20200413_slice_1	2020-04-13	sample 4	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	870179	811222	106751	12	13065	ET	L5 ET_1	0.98	L5 ET_1 (98.0%)	L5 PT ALM Slco2a1 (99.0%)	2158	1286.85	Fede, Ray	6	985	0	0	1657			3.7	18.9	67	33-34
141	20200413_sample_5	20200413_slice_1	2020-04-13	sample 5	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1832319	307710	86889	12	11637	NP	L5/6 NP_1	0.71	L5/6 NP_1 (71.1%), L5/6 NP_2 (26.9%)	L5 NP ALM Trhr Nefl (66.0%), L5 IT ALM Cpa6 Gpr88 (12.0%), L5 NP VISp Trhr Met (6.0%)	1896	559.6	Fede, Ray	6	902	0	0	1657			3.9	19.9	164.4	33-34
142	20200413_sample_6	20200413_slice_1	2020-04-13	sample 6	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1096092	1322887	131249	12	11527	IT	L5 IT_1	0.96	L5 IT_1 (95.6%)	L5 IT ALM Cpa6 Gpr88 (84.0%), L5 IT ALM Gkn1 Pcdh19 (12.0%)	1792	456.49	Fede, Ray	6	746	0	0	1657			3.9	20.5	65.9	33-34
143	20200413_sample_7	20200413_slice_2	2020-04-13	sample 7	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	2002689	460747	83077	12	11313	IT	L4/5 IT_2	0.88	L4/5 IT_2 (88.0%), L4/5 IT_1 (6.7%), L5 IT_1 (2.4%)	L5 IT ALM Lypd1 Gpr88 (91.0%), L5 IT VISp Hsd11b1 Endou (9.0%)	2088	456.25	Fede, Ray	7	694	0	0	1808			3.8	18	127.2	33-34
144	20200413_sample_8	20200413_slice_2	2020-04-13	sample 8	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	3449653	817947	162963	12	13759	ET	L5 ET_2	0.96	L5 ET_2 (95.9%)	L5 PT VISp Lgr5 (73.0%), L5 PT ALM Npsr1 (27.0%)	2137	719.67	Fede, Ray	6	741	0	0	1808			4.1	12.8	92.4	33-34
145	20200413_sample_9	20200413_slice_2	2020-04-13	sample 9	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	482799	438637	51476	12	9333	IT	L5 IT_1	0.85	L5 IT_1 (84.6%), L5 IT_3 (12.6%)	L5 IT ALM Cpa6 Gpr88 (44.0%), L5 IT VISp Batf3 (22.0%), L5 IT VISp Col6a1 Fezf2 (12.0%)	1995	266.57	Fede, Ray	6	743	0	0	1808			3.9	18.5	163.4	33-34
146	20200413_sample_10	20200413_slice_2	2020-04-13	sample 10	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	933742	115698	74245	12	9405	ET	L5 ET_4	0.63	L5 ET_4 (63.1%), L5 ET_1 (14.1%), L6 CT Cpa6 (5.7%)	L5 PT ALM Npsr1 (87.0%), L5 PT VISp Krt80 (6.0%), L5 PT VISp Lgr5 (5.0%)	1532	218.13	Fede, Ray	6	779	0	0	1808			3.8	12.3	56.2	33-34
147	20200413_sample_11	20200413_slice_2	2020-04-13	sample 11	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	730754	900419	95168	12	11171	IT	L5 IT_1	1.00	L5 IT_1 (99.9%)	L5 IT VISp Batf3 (50.0%), L5 IT ALM Cpa6 Gpr88 (34.0%), L5 IT VISp Hsd11b1 Endou (9.0%)	1976	454.6	Fede, Ray	9	679	0	0	1808			4	18.3	112.3	33-34
148	20200413_sample_12	20200413_slice_2	2020-04-13	sample 12	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	4	2	0	12	6	low quality					2081	390.13	Fede, Ray	8	769	0	0	1808			3.9	12.9	73.9	33-34
149	20200413_sample_13	20200413_slice_2	2020-04-13	sample 13	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1282959	1040000	166032	12	11547	ET	L5 ET_2	0.85	L5 ET_2 (85.4%), L5 ET_4 (12.4%)	L5 PT VISp Lgr5 (59.0%), L5 PT ALM Npsr1 (34.0%), L5 PT VISp Krt80 (5.0%)	1986	265.69	Fede, Ray	7	733	0	0	1808			4.5	19.6	102.1	33-34
150	20200413_sample_14	20200413_slice_2	2020-04-13	sample 14	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	2909340	856150	132729	12	13978	IT	L5 IT_1	0.94	L5 IT_1 (93.9%), L5 IT_2 (5.0%)	L5 IT ALM Cpa6 Gpr88 (85.0%), L5 IT ALM Gkn1 Pcdh19 (15.0%)	2017	911.97	Fede, Ray	6	712	0	0	1808			3.9	11.7	57.4	33-34
151	20200413_sample_15	20200413_slice_2	2020-04-13	sample 15	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	665064	839166	89620	12	10355	IT	L5 IT_1	0.81	L5 IT_1 (81.1%), L5 IT_2 (13.0%), L6 CT Grp (1.9%)	L5 IT ALM Cpa6 Gpr88 (78.0%), L5 IT VISp Batf3 (10.0%), L5 IT ALM Gkn1 Pcdh19 (9.0%)	2191	719.67	Fede, Ray	9	696	0	0	1808			4	12.7	79.9	33-34
152	20200413_sample_16	20200413_slice_2	2020-04-13	sample 16	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	449560	57906	24322	12	3441	IT	L4/5 IT_2	0.18	L4/5 IT_2 (18.0%), L5 IT_3 (10.0%), L5 ET_1 (9.1%)	L5 IT ALM Cbln4 Fezf2 (37.0%), L5 IT ALM Pld5 (19.0%), L4 IT VISp Rspo1 (14.0%)	1630	97.36	Fede, Ray	6	652	0	0	1808			3.9	15.4	102.5	33-34
153	20200413_sample_17	20200413_slice_2	2020-04-13	sample 17	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	2536445	1714348	215816	12	15073	ET	L5 ET_1	0.85	L5 ET_1 (85.0%), L5 ET_2 (9.6%), L5 ET_4 (5.3%)	L5 PT ALM Slco2a1 (77.0%), L5 PT VISp Krt80 (19.0%)	2087	587.74	Fede, Ray	6	894	0	0	1808			3.8	11.1	85.9	33-34
154	20200413_sample_18	20200413_slice_2	2020-04-13	sample 18	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	548979	51921	35271	12	3773	low quality					1516	85.41	Fede, Ray	7	719	0	0	1808			3.5	14.6	80.7	33-34
155	20200413_sample_19	20200413_slice_2	2020-04-13	sample 19	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	2095955	1419786	240682	12	13296	ET	L5 ET_4	0.85	L5 ET_4 (85.3%), L5 ET_2 (14.7%)	L5 PT ALM Npsr1 (100.0%)	2094	509.12	Fede, Ray	8	718	0	0	1808			3.9	18.5	118.5	33-34
156	20200413_sample_20	20200413_slice_3	2020-04-13	sample 20	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	2948725	946606	162853	12	12292	IT	L5 IT_1	0.99	L5 IT_1 (99.4%)	L5 IT ALM Cpa6 Gpr88 (97.0%)	2128	392.07	Fede, Ray	6	605	0	0	1589			4	19.6	90.5	33-34
157	20200413_sample_21	20200413_slice_3	2020-04-13	sample 21	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1381009	1222114	130390	12	11467	IT	L5 IT_1	0.66	L5 IT_1 (66.1%), L5 IT_2 (16.1%), L6 IT_1 (6.7%)	L5 IT ALM Cpa6 Gpr88 (38.0%), L5 IT VISp Col27a1 (33.0%), L5 IT ALM Gkn1 Pcdh19 (19.0%)	1945	426.15	Fede, Ray	6	855	0	0	1589			4	9.5	49.4	33-34
158	20200413_sample_22	20200413_slice_3	2020-04-13	sample 22	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1245998	1019148	126687	12	10757	ET	L5 ET_1	0.90	L5 ET_1 (89.7%), L5 ET_2 (6.6%)	L5 PT ALM Slco2a1 (99.0%)	1946	376.34	Fede, Ray	6	870	0	0	1589			3.9	10.8	59	33-34
159	20200413_sample_23	20200413_slice_3	2020-04-13	sample 23	mouse_UEQOU	2020-02-10	71	M	Pvalb-Cre/wt; Ai9/wt	5	5	PV-	1237402	1724958	227080	12	10368	ET	L5 ET_1	0.88	L5 ET_1 (88.0%), L5 ET_2 (9.7%)	L5 PT ALM Slco2a1 (89.0%), L5 PT VISp Krt80 (9.0%)	1904	340.94	Fede, Ray	6	935	0	0	1589			3.9	11.4	95.3	33-34
160	20200414_sample_1	20200414_slice_1	2020-04-14	sample 1	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	850302	50866	65916	12	6922	IT	L4/5 IT_2	0.82	L4/5 IT_2 (81.6%), L6 CT Grp (5.9%), L4/5 IT_1 (3.1%)	L5 IT ALM Lypd1 Gpr88 (62.0%), L5 IT VISp Hsd11b1 Endou (26.0%), L5 IT ALM Tmem163 Dmrtb1 (5.0%)	1627	205.17	Fede, Ray	6	579	0	0	1694			4	20.8	95.1	33-34
161	20200414_sample_2	20200414_slice_1	2020-04-14	sample 2	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	2897154	795100	141014	12	13517	IT	L5 IT_1	0.83	L5 IT_1 (82.9%), L5 IT_2 (14.0%)	L5 IT ALM Gkn1 Pcdh19 (77.0%), L5 IT ALM Cpa6 Gpr88 (23.0%)	1964	1019.19	Fede, Ray	9	729	0	0	1694			4	18.3	178.4	33-34
162	20200414_sample_3	20200414_slice_1	2020-04-14	sample 3	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1065544	2028564	165984	12	11600	IT	L5 IT_1	0.90	L5 IT_1 (89.7%), L4/5 IT_2 (4.6%), L5 IT_3 (3.9%)	L5 IT ALM Cpa6 Gpr88 (80.0%), L5 IT ALM Lypd1 Gpr88 (8.0%), L5 IT VISp Batf3 (4.0%)	2070	386.89	Fede, Ray	7	642	0	0	1694			4.2	11.9	64.9	33-34
163	20200414_sample_4	20200414_slice_1	2020-04-14	sample 4	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	260283	77167	28878	12	4049	IT	L5 IT_1	0.32	L5 IT_1 (31.9%), L5 IT_3 (21.6%), L6 CT Pou3f2 (11.6%)	L5 IT VISp Batf3 (53.0%), L5 IT VISp Col27a1 (34.0%), L5 IT ALM Cpa6 Gpr88 (6.0%)	1526	77.07	Fede, Ray	7	681	0	0	1694			4.2	15.4	151.5	33-34
164	20200414_sample_5	20200414_slice_2	2020-04-14	sample 5	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	618067	711380	96954	12	10402	IT	L5 IT_1	0.43	L5 IT_1 (42.9%), L5 IT_3 (30.1%), L5 IT_2 (23.3%)	L5 IT VISp Col27a1 (51.0%), L5 IT ALM Cpa6 Gpr88 (42.0%), L5 IT ALM Cbln4 Fezf2 (6.0%)	1941	329.5	Fede, Ray	7	857	0	0	1679			4	14.2	104.6	33-34
165	20200414_sample_6	20200414_slice_2	2020-04-14	sample 6	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	258997	40841	35221	12	4340	IT	L5 IT_2	0.20	L5 IT_2 (20.0%), L5 IT_1 (14.9%), L6 CT Pou3f2 (14.6%)	Astro Aqp4 (44.0%), L5 IT VISp Batf3 (35.0%), L5 IT VISp Col6a1 Fezf2 (7.0%)	1587	64.85	Fede, Ray	7	825	0	0	1679			4	9.5	55.8	33-34
166	20200414_sample_7	20200414_slice_2	2020-04-14	sample 7	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	568212	407090	42906	12	7704	Sst	Sst Calb2	0.96	Sst Calb2 (96.3%)	Sst Calb2 Pdlim5 (98.0%)	1851	159.33	Fede, Ray	8	620	0	0	1679			4	17.8	138.6	33-34
167	20200414_sample_8	20200414_slice_2	2020-04-14	sample 8	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1696507	535104	88813	12	10510	Sst	Sst Calb2	1.00	Sst Calb2 (99.9%)	Sst Calb2 Pdlim5 (100.0%)	2051	328.79	Fede, Ray	10	615	0	0	1679			3.9	20	143.6	33-34
168	20200414_sample_9	20200414_slice_2	2020-04-14	sample 9	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1156778	612574	84235	12	11373	Sst	Sst Myh8_1	0.54	Sst Myh8_1 (54.0%), Sst Etv1 (46.0%)	Sst Myh8 Etv1  (100.0%)	1965	419.25	Fede, Ray	6	943	0	0	1679			4	14.1	163.2	33-34
169	20200414_sample_10	20200414_slice_2	2020-04-14	sample 10	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	2340644	1440409	204097	12	12964	IT	L5 IT_3	0.84	L5 IT_3 (83.9%), L5 IT_1 (11.1%), L5 ET_1 (2.9%)	L5 IT VISp Col27a1 (100.0%)	2209	460.01	Fede, Ray	7	930	0	0	1679			3.9	15.5	97.6	33-34
170	20200414_sample_11	20200414_slice_2	2020-04-14	sample 11	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	2179557	852072	164899	12	13161	IT	L5 IT_1	0.99	L5 IT_1 (99.0%)	L5 IT ALM Cpa6 Gpr88 (100.0%)	2144	584.12	Fede, Ray	7	891	0	0	1679			3.9	13.4	94.9	33-34
171	20200414_sample_12	20200414_slice_3	2020-04-14	sample 12	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1957722	1058969	152843	12	12422	IT	L5 IT_1	0.99	L5 IT_1 (99.3%)	L5 IT ALM Cpa6 Gpr88 (100.0%)	2138	529.87	Fede, Ray	10	823	0	0	1844			3.6	15.7	78.4	33-34
172	20200414_sample_13	20200414_slice_3	2020-04-14	sample 13	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	571219	629681	103071	12	12067	IT	L5 IT_1	0.95	L5 IT_1 (95.1%)	L5 IT ALM Cpa6 Gpr88 (97.0%)	1842	585.15	Fede, Ray	7	829	0	0	1844			3.6	9.1	50.2	33-34
173	20200414_sample_14	20200414_slice_3	2020-04-14	sample 14	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1164359	1341720	139594	12	12001	IT	L5 IT_1	0.96	L5 IT_1 (95.7%)	L5 IT VISp Batf3 (55.0%), L5 IT ALM Cpa6 Gpr88 (26.0%), L5 IT VISp Hsd11b1 Endou (14.0%)	1745	515.54	Fede, Ray	7	753	0	0	1844			3.8	11.4	59.2	33-34
174	20200414_sample_15	20200414_slice_3	2020-04-14	sample 15	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1806846	1028083	150318	12	13071	IT	L5 IT_1	0.94	L5 IT_1 (93.9%), L4/5 IT_2 (6.1%)	L5 IT ALM Tmem163 Arhgap25 (78.0%), L5 IT ALM Lypd1 Gpr88 (19.0%)	2019	741.32	Fede, Ray	6	742	0	0	1844			3.7	12.2	79.9	33-34
175	20200414_sample_16	20200414_slice_3	2020-04-14	sample 16	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1586863	290380	71165	12	12852	IT	L5 IT_1	0.98	L5 IT_1 (97.9%)	L5 IT ALM Cpa6 Gpr88 (100.0%)	1994	757.73	Fede, Ray	7	712	0	0	1844			3.9	9.3	60.8	33-34
176	20200414_sample_17	20200414_slice_3	2020-04-14	sample 17	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1683904	383712	110408	12	12393	IT	L4/5 IT_2	0.97	L4/5 IT_2 (96.7%)	L5 IT ALM Lypd1 Gpr88 (100.0%)	1974	545.17	Fede, Ray	7	648	0	0	1844			3.5	14.7	86.5	33-34
177	20200414_sample_18	20200414_slice_3	2020-04-14	sample 18	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1510434	1421032	247162	12	12390	IT	L4/5 IT_2	0.78	L4/5 IT_2 (78.0%), L5 IT_1 (14.1%), L5 ET_1 (4.1%)	L5 IT VISp Hsd11b1 Endou (90.0%), L5 IT ALM Tmem163 Dmrtb1 (5.0%)	1928	362.95	Fede, Ray	8	649	0	0	1844			4	12.3	103.5	33-34
178	20200414_sample_19	20200414_slice_3	2020-04-14	sample 19	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1571880	1674535	271715	12	13866	IT	L4/5 IT_2	0.52	L4/5 IT_2 (52.4%), L5 IT_1 (43.7%)	L5 IT VISp Hsd11b1 Endou (46.0%), L5 IT ALM Lypd1 Gpr88 (26.0%), L5 IT VISp Whrn Tox2 (14.0%)	1707	498.28	Fede, Ray	7	648	0	0	1844			3.9	14.8	101.2	33-34
179	20200414_sample_21	20200414_slice_3	2020-04-14	sample 21	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	977401	309661	56247	12	6876	NP	L5/6 NP CT	0.21	L5/6 NP CT (20.6%), L5 ET_1 (11.9%), L5 IT_1 (9.1%)	OPC Pdgfra Grm5 (92.0%), L5 PT VISp Lgr5 (3.0%)	1821	207.69	Fede, Ray	7	727	0	0	1844			3.9	9.6	45.4	33-34
180	20200414_sample_22	20200414_slice_3	2020-04-14	sample 22	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1190218	447632	83887	12	10881	Sst	Sst Htr1a	0.55	Sst Htr1a (54.7%), Sst Myh8_2 (37.1%), Sst Myh8_3 (4.9%)	Sst Chrna2 Ptgdr (42.0%), Sst Hpse Sema3c (41.0%), Sst Tac2 Myh4 (17.0%)	1756	355.91	Fede, Ray	8	705	0	0	1844			3.9	19.7	172.4	33-34
181	20200414_sample_23	20200414_slice_3	2020-04-14	sample 23	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	811159	1075628	200236	12	12036	IT	L5 IT_1	0.96	L5 IT_1 (95.6%)	L5 IT VISp Hsd11b1 Endou (44.0%), L5 IT ALM Cpa6 Gpr88 (26.0%), L5 IT VISp Batf3 (22.0%)	2066	674.55	Fede, Ray	6	794	0	0	1844			3.9	16.8	157.3	33-34
182	20200414_sample_24	20200414_slice_3	2020-04-14	sample 24	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1119081	1049183	164645	12	11083	IT	L5 IT_1	0.77	L5 IT_1 (76.9%), L4/5 IT_2 (13.4%), L5 ET_2 (3.1%)	L5 IT VISp Batf3 (48.0%), L5 IT VISp Hsd11b1 Endou (34.0%), L5 IT ALM Cpa6 Gpr88 (14.0%)	2020	288.99	Fede, Ray	6	836	0	0	1844			3.9	16.1	126.1	33-34
183	20200414_sample_25	20200414_slice_3	2020-04-14	sample 25	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	855105	1104532	227855	12	11119	IT	L4/5 IT_2	0.92	L4/5 IT_2 (92.3%), L5 ET_2 (3.9%)	L5 IT VISp Hsd11b1 Endou (74.0%), L5 IT ALM Lypd1 Gpr88 (22.0%)	1880	300.45	Fede, Ray	6	642	0	0	1844			4.2	10.1	44.3	33-34
184	20200414_sample_26	20200414_slice_3	2020-04-14	sample 26	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	657057	651646	188776	12	6676	IT	L4/5 IT_2	0.94	L4/5 IT_2 (93.7%), L4/5 IT_1 (3.3%)	L4 IT VISp Rspo1 (95.0%)	1923	133.72	Fede, Ray	6	573	0	0	1844			4.2	22.4	141.8	33-34
185	20200414_sample_27	20200414_slice_3	2020-04-14	sample 27	mouse_SCEAC	2019-09-15	212	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2676622	311589	86668	12	11947	Sst	Sst Calb2	0.66	Sst Calb2 (65.9%), Sst Hpse (31.7%)	Sst Hpse Cbln4 (94.0%), Sst Calb2 Pdlim5 (6.0%)	1909	561.24	Fede, Ray	7	575	0	0	1844			3.5	19.4	152.9	33-34
